title,year,citationCount,top_conf_citations,top_journal_citations,paperId,notes,citations_2014,citations_2015,citations_2016,citations_2017,citations_2018,citations_2019,citations_2020,citations_2021,citations_2022,citations_2023,citations_2024,ai_category
"""Nothing Abnormal"": Disambiguating Medical Reports via Contrastive Knowledge Infusion.",2023,0,0,0,be641c0c6c8f83c84963e1254b2eda74e6a29d3f,,0,0,0,0,0,0,0,0,0,0,0,自然语言处理
3D Assembly Completion.,2023,1,0,0,eb2256efc25ad00d4a18a9901cf83b17dbc038a4,,0,0,0,0,0,0,0,0,0,0,1,计算机视觉
3D Human Pose Lifting with Grid Convolution.,2023,6,2,0,eab5282e937a9b09b3af8c0956f1aa09ff20cfa9,,0,0,0,0,0,0,0,0,0,1,4,计算机视觉
A Benchmark and Asymmetrical-Similarity Learning for Practical Image Copy Detection.,2023,14,2,1,974e24ce5ca6a23b8841f3b1049edff0aeaf42ce,,0,0,0,0,0,0,0,0,1,2,7,计算机视觉
A Composite Multi-Attention Framework for Intraoperative Hypotension Early Warning.,2023,7,3,0,7e270239bda02a2355367df7f02deafb96920c54,,0,0,0,0,0,0,0,0,0,1,3,模型可解释性、公平性、应用系统等
A Continual Pre-training Approach to Tele-Triaging Pregnant Women in Kenya.,2023,5,1,0,42aa79b825616927348b03fab5eb33a38750ab44,,0,0,0,0,0,0,0,0,0,1,3,自然语言处理
A Coreset Learning Reality Check.,2023,5,3,0,fb3d8ae9e0ac948b2d7dd42293ce508093d160c8,,0,0,0,0,0,0,0,0,0,3,2,表示学习与优化方法
A Crowd-AI Collaborative Duo Relational Graph Learning Framework towards Social Impact Aware Photo Classification.,2023,0,0,0,fa8762d3e3811563a948096967fccbf3e7392a87,,0,0,0,0,0,0,0,0,0,0,0,计算机视觉
A Data Source for Reasoning Embodied Agents.,2023,10,2,0,5c828011a508611df4d58cced9cc48d049dc4eb9,,0,0,0,0,0,0,0,0,0,3,2,强化学习与智能决策
A Disentangled-Attention Based Framework with Persona-Aware Prompt Learning for Dialogue Generation.,2023,8,4,0,6b36b4ef56d9ac2eb622c331610f23d6e3f6799d,,0,0,0,0,0,0,0,0,0,1,3,自然语言处理
A Domain-Knowledge-Inspired Music Embedding Space and a Novel Attention Mechanism for Symbolic Music Modeling.,2023,23,5,0,aec9ae3c0e5a5784e171dbb7aa58c209de89e404,,0,0,0,0,0,0,0,0,0,5,9,自然语言处理
A Domain-Transfer Meta Task Design Paradigm for Few-Shot Slot Tagging.,2023,0,0,0,b4481a16cfac0008e5b12a4e6d375df81d5a9fce,,0,0,0,0,0,0,0,0,0,0,0,自然语言处理
