title,year,citationCount,top_conf_citations,top_journal_citations,paperId,notes,citations_2014,citations_2015,citations_2016,citations_2017,citations_2018,citations_2019,citations_2020,citations_2021,citations_2022,citations_2023,citations_2024,ai_category
Quantized Side Tuning: Fast and Memory-Efficient Tuning of Quantized Large Language Models,2024,11,1,1,4922f5af89ead8674c88dd3c07212b779a9886de,,0,0,0,0,0,0,0,0,0,0,6,机器学习（含深度学习）
GenTranslate: Large Language Models are Generative Multilingual Speech and Machine Translators,2024,33,14,1,e8e6d462d0a7656a9fefec21075159fd2138a780,,0,0,0,0,0,0,0,0,0,2,10,自然语言处理
Exploring Chain-of-Thought for Multi-modal Metaphor Detection,2024,18,4,0,63c22b0dc0a1263c35a1e21a377275b03ac17163,,0,0,0,0,0,0,0,0,0,0,1,多模态学习
BitDistiller: Unleashing the Potential of Sub-4-BitLLMs via Self-Distillation,2024,58,15,0,52258e9110f8e73cca24f6394bfc483341b459a4,,0,0,0,0,0,0,0,0,0,1,13,机器学习（含深度学习）
A Unified Temporal Knowledge Graph Reasoning Model Towards Interpolation and Extrapolation,2024,10,1,0,d84a5f4f9f727eea49890bf860d3f75ad39d7b8e,,0,0,0,0,0,0,0,0,0,0,1,基础 AI 理论
Unsupervised Information Refinement Training of Large Language Models for Retrieval-Augmented Generation,2024,26,1,1,a76209fea4627974b5e12d8b4942268eb17bc7df,,0,0,0,0,0,0,0,0,0,1,8,自然语言处理
How Abilities in Large Language Models are Affected by Supervised Fine-tuning Data Composition,2024,221,69,2,5088a04d1a9f42b967f3dcf791145e8aa367fc54,,0,0,0,0,0,0,0,0,0,10,94,自然语言处理
"Through the Lens of Split Vote: Exploring Disagreement, Difficulty and Calibration in Legal Case Outcome Classification",2024,6,1,0,85025d0b3b03b4f03a42b62183df8488b48c6a14,,0,0,0,0,0,0,0,0,0,0,3,模型可解释性、公平性、应用系统等
Inference to the Best Explanation in Large Language Models,2024,4,1,0,beecd5dc56fbd344749c444eb102a4bb485a2070,,0,0,0,0,0,0,0,0,0,0,1,自然语言处理
A Novel Cartography-Based Curriculum Learning Method Applied on RoNLI: The First Romanian Natural Language Inference Corpus,2024,1,0,0,https://openalex.org/W4402667012,,0,0,0,0,0,0,0,0,0,0,0,自然语言处理
Expedited Training of Visual Conditioned Language Generation via Redundancy Reduction,2024,20,12,0,115d7a1c587587384038d61bb8a3af8c5b7de571,,0,0,0,0,0,0,0,0,0,1,7,多模态学习
Confidence Under the Hood: An Investigation into the Confidence-Probability Alignment in Large Language Models,2024,23,7,0,5716985a55d5a2dae451c4347707ac89c24175b9,,0,0,0,0,0,0,0,0,0,0,5,模型可解释性、公平性、应用系统等
Retrieval-Augmented Multilingual Knowledge Editing,2024,14,2,0,5e2ce535acf3a2ce8fd36d0f97e36c7777f65504,,0,0,0,0,0,0,0,0,0,1,8,自然语言处理
Picturing Ambiguity: A Visual Twist on the Winograd Schema Challenge,2024,0,0,0,https://openalex.org/W4402667015,,0,0,0,0,0,0,0,0,0,0,0,计算机视觉
Subtle Biases Need Subtler Measures: Dual Metrics for Evaluating Representative and Affinity Bias in Large Language Models,2024,8,1,0,f274f97ca7445b6ea3cdf9c398ea44449c627e02,,0,0,0,0,0,0,0,0,0,0,1,模型可解释性、公平性、应用系统等
Framing in the Presence of Supporting Data: A Case Study inU.S. Economic News,2024,1,0,0,b35834725eeffcdb111f3b9162f7c56657f1bbb8,,0,0,0,0,0,0,0,0,0,0,0,自然语言处理
Mementos: A Comprehensive Benchmark for Multimodal Large Language Model Reasoning over Image Sequences,2024,95,31,1,e0702a22e0841c54ab865b4996d7b07af192a3e1,,0,0,0,0,0,0,0,0,0,3,48,多模态学习
TTM-RE: Memory-Augmented Document-Level Relation Extraction,2024,8,2,0,1a51a8c25837ba1fb54a9c2a406fc9009587cff5,,0,0,0,0,0,0,0,0,0,0,0,自然语言处理
Answer is All You Need: Instruction-following Text Embedding via Answering the Question,2024,16,5,0,217eab77e4b8d16189fa6d8e64cea489db46b56c,,0,0,0,0,0,0,0,0,0,0,6,自然语言处理
Explore Spurious Correlations at the Concept Level in Language Models for Text Classification,2024,44,17,0,01efb3fd2d3ae4b5f4389c916c94f2c6d9c11b81,,0,0,0,0,0,0,0,0,0,1,17,模型可解释性、公平性、应用系统等
Every Answer Matters: Evaluating Commonsense with Probabilistic Measures,2024,6,1,0,5d4b8e3afdabf927cedf3302cd6819ae20250423,,0,0,0,0,0,0,0,0,0,0,0,概率统计与推理基础
GradSafe: Detecting Jailbreak Prompts forLLMs via Safety-Critical Gradient Analysis,2024,58,12,2,7b3b81c91e328ab3a8a2fbd131967cefa7fcccf4,,0,0,0,0,0,0,0,0,0,0,15,模型可解释性、公平性、应用系统等
Pouring Your Heart Out: Investigating the Role of Figurative Language in Online Expressions of Empathy,2024,2,1,0,656fbf97b6fa64371d327af9a2bf78119bbf7997,,0,0,0,0,0,0,0,0,0,0,1,自然语言处理
Can Your Model Tell a Negation from an Implicature? Unravelling Challenges With Intent Encoders,2024,3,1,0,0085cab4c9d0ed894def13ec2d4286d473fa77d8,,0,0,0,0,0,0,0,0,0,0,1,自然语言处理
Leveraging Codebook Knowledge withNLIandChatGPTfor Zero-Shot Political Relation Classification,2024,3,0,1,30349f90579e43e16ab8ec186756972cef76d369,,0,0,0,0,0,0,0,0,0,0,0,自然语言处理
Multimodal Instruction Tuning with Conditional Mixture ofLoRA,2024,30,8,1,4c111e261bf0f218341e2295cbdd6aae5a5329a7,,0,0,0,0,0,0,0,0,0,0,11,多模态学习
FOFO: A Benchmark to Evaluate LLMs' Format-Following Capability,2024,70,22,0,5ec2aa6c84e4b7ee51c6cc3e4cd74ed3b21c2df1,,0,0,0,0,0,0,0,0,0,0,37,自然语言处理
Hyper-CL: Conditioning Sentence Representations with Hypernetworks,2024,7,0,0,9f3ce48c095b2d75aa034cb00925fbac163fb42c,,0,0,0,0,0,0,0,0,0,0,0,表示学习与优化方法
Analysis of Multi-Source Language Training in Cross-Lingual Transfer,2024,4,0,0,116a5a23bf9a1486e41a1c3a140cc25f33a3ecea,,0,0,0,0,0,0,0,0,0,0,1,自然语言处理
Learn from Failure: Fine-tuningLLMs with Trial-and-Error Data for Intuitionistic Propositional Logic Proving,2024,11,2,0,adfac93d6b6ccc9a83e2e37c337f1cb9c69392df,,0,0,0,0,0,0,0,0,0,0,4,自然语言处理
Interactive Text-to-Image Retrieval with Large Language Models: A Plug-and-Play Approach,2024,21,7,0,fad25e808b5645fe97c712bffc944024d62dfbc6,,0,0,0,0,0,0,0,0,0,0,2,多模态学习
Token-wise Influential Training Data Retrieval for Large Language Models,2024,11,2,0,9ce721293b4ffe03a0269c5423d626383de10ffb,,0,0,0,0,0,0,0,0,0,0,2,机器学习（含深度学习）
Tree-of-Counterfactual Prompting for Zero-Shot Stance Detection,2024,16,6,0,eca5c0e08decc7f4dcb5e8e7dfd3c52f047e0405,,0,0,0,0,0,0,0,0,0,0,3,自然语言处理
VisualWebArena: Evaluating Multimodal Agents on Realistic Visual Web Tasks,2024,342,67,1,f554b22d2ccf786a6d61d5858f43024ba9115e15,,0,0,0,0,0,0,0,0,1,4,105,多模态学习
FineSurE: Fine-grained Summarization Evaluation usingLLMs,2024,73,18,0,dae7b1ccf3a65c2baaa57de4f7c54409dfa6d4ac,,0,0,0,0,0,0,0,0,0,0,16,自然语言处理
Tuning Large Multimodal Models for Videos using Reinforcement Learning fromAIFeedback,2024,31,6,0,badaaee23c1ee33fa747165acb179662598ec6bd,,0,0,0,0,0,0,0,0,0,0,6,多模态学习
Prompt Refinement with Image Pivot for Text-to-Image Generation,2024,5,2,0,335707e9a442724591eb136bc79584a28ea492ee,,0,0,0,0,0,0,0,0,0,0,1,多模态学习
Striking Gold in Advertising: Standardization and Exploration of Ad Text Generation,2024,14,6,0,8bc33719e0c251f40d318029824791f9642966e5,,0,0,0,0,0,0,0,0,0,0,2,自然语言处理
AbsInstruct: Eliciting Abstraction Ability fromLLMs through Explanation Tuning with Plausibility Estimation,2024,17,10,0,3dd564a7500861162904c6875a102118891a03f9,,0,0,0,0,0,0,0,0,0,0,12,自然语言处理
Reflect-RL: Two-Player OnlineRLFine-Tuning forLMs,2024,9,2,0,d5c5cd269dbba04f7ec67192061c3ae22ebde72e,,0,0,0,0,0,0,0,0,0,1,1,强化学习与智能决策
CanChatGPT’s Performance be Improved on Verb Metaphor Detection Tasks? Bootstrapping and Combining Tacit Knowledge,2024,6,1,0,dec83f92b81396a0b7b3f4f8e9c9e3aab1fa0c06,,0,0,0,0,0,0,0,0,0,0,1,自然语言处理
Self-Distillation Bridges Distribution Gap in Language Model Fine-Tuning,2024,74,25,0,c4d43fe1b7e44c5e9929d6edf7bd11de4e6d293a,,0,0,0,0,0,0,0,0,0,1,22,自然语言处理
An Information Bottleneck Perspective for Effective Noise Filtering on Retrieval-Augmented Generation,2024,18,1,0,3529f8c04273367260aa3292a6cef779d821fe14,,0,0,0,0,0,0,0,0,0,0,2,自然语言处理
Tell Me More! Towards Implicit User Intention Understanding of Language Model Driven Agents,2024,57,17,1,f4e4f2090b639372daf32d4b466752b0fb32b261,,0,0,0,0,0,0,0,0,0,0,15,自然语言处理
"Navigate through Enigmatic Labyrinth A Survey of Chain of Thought Reasoning: Advances, Frontiers and Future",2024,214,49,2,f42f61a547c5996be6aee175145b0d74e6324dff,,0,0,0,0,0,0,0,0,0,13,88,自然语言处理
