title,year,citationCount,top_conf_citations,top_journal_citations,paperId,notes,citations_2014,citations_2015,citations_2016,citations_2017,citations_2018,citations_2019,citations_2020,citations_2021,citations_2022,citations_2023,citations_2024,ai_category
A Generative Product-of-Filters Model of Audio,2014,5,2,0,420c1c7cff86cb888c56ea19ef50a874118c3daa,,1,3,0,0,1,0,0,0,0,0,0,机器学习（含深度学习）
A Primal-Dual Method for Training Recurrent Neural Networks Constrained by the Echo-State Property,2014,27,9,1,a59daf59bb3d5fffdf7cfabd763bc392d8f52f8a,,8,7,0,1,3,1,1,4,1,0,0,表示学习与优化方法
Adaptive Feature Ranking for Unsupervised Transfer Learning,2014,1,0,0,f5c09a65bece4d0465d1b1bd8cb267ab769f9ce4,,0,1,0,0,0,0,0,0,0,0,0,机器学习（含深度学习）
An Architecture for Distinguishing between Predictors and Inhibitors in Reinforcement Learning,2014,0,0,0,2358b4782d951680d0d8e2fa93719791faf04399,,0,0,0,0,0,0,0,0,0,0,0,强化学习与智能决策
An Empirical Investigation of Catastrophic Forgeting in Gradient-Based Neural Networks,2014,1563,389,45,0407b605b8f55db72e2545586bfe8e946b691b70,,10,13,29,48,83,137,183,176,208,232,246,机器学习（含深度学习）
Approximated Infomax Early Stopping: Revisiting Gaussian RBMs on Natural Images,2014,0,0,0,93bb85b080381ace4471914e388da50db18ddaee,,0,0,0,0,0,0,0,0,0,0,0,表示学习与优化方法
Auto-Encoding Variational Bayes,2014,20086,1695,319,ef4f5a50837a7c1b3e87b9300ffc7ba00d461a0f,,0,0,0,0,0,0,0,0,0,222,4496,概率统计与推理基础
Can recursive neural tensor networks learn logical reasoning?,2014,45,15,0,08caf0d048cfbe528f8d9db7005d040f76b55c24,,8,9,10,4,3,3,1,3,0,2,1,自然语言处理
Deep Convolutional Ranking for Multilabel Image Annotation,2014,448,123,6,3b049d8cfea6c3bed377090e0e7fa677d282a361,,8,23,44,62,69,64,49,39,30,18,18,计算机视觉
Deep and Wide Multiscale Recursive Networks for Robust Image Labeling,2014,45,6,1,36bd613bc2e7c81e2da863a0b7ebb34b343e7693,,6,15,5,6,4,4,2,1,1,0,0,计算机视觉
Exact solutions to the nonlinear dynamics of learning in deep linear neural networks,2014,1955,462,55,99c970348b8f70ce23d6641e201904ea49266b6e,,16,43,106,142,220,235,266,191,217,193,149,基础 AI 理论
Factorial Hidden Markov Models for Learning Representations of Natural Language,2014,7,1,0,4b9ac8e9592a568bbd02e30068977fb83dff1004,,2,1,1,1,1,0,0,1,0,0,0,自然语言处理
Generative NeuroEvolution for Deep Learning,2014,52,5,1,fb300dc8dcf884cc8ddb3bff92e3e5df08d34dae,,2,0,4,12,6,6,6,4,3,3,2,机器学习（含深度学习）
Group-sparse Embeddings in Collective Matrix Factorization,2014,47,5,0,45287eaaafb45ff32fe57c03b9842fd6509a3643,,5,5,16,6,2,5,1,3,1,0,2,表示学习与优化方法
Image Representation Learning Using Graph Regularized Auto-Encoders,2014,3,1,0,1c0cb9f82496d914781b17120d1924d1f507c626,,0,0,0,2,0,1,0,0,0,0,0,计算机视觉
Improving Deep Neural Networks with Probabilistic Maxout Units,2014,102,16,2,cab783289febf6c650a8bfd4e37c5c8e187a8066,,8,15,18,17,16,8,13,4,1,1,1,机器学习（含深度学习）
Large-scale Multi-label Text Classification - Revisiting Neural Networks,2014,377,86,9,f47d0bf65acc89f964058baf662472dc1dec6621,,4,7,20,42,41,61,57,43,33,31,16,自然语言处理
Learned versus Hand-Designed Feature Representations for 3d Agglomeration,2014,17,4,1,8b0bf1011aaee0319d753a0e367bfd2a2d76500e,,2,2,1,4,1,2,0,0,0,3,1,表示学习与优化方法
