title,year,citationCount,top_conf_citations,top_journal_citations,paperId,notes,citations_2014,citations_2015,citations_2016,citations_2017,citations_2018,citations_2019,citations_2020,citations_2021,citations_2022,citations_2023,citations_2024,ai_category
A Bargaining Mechanism for One-Way Games.,2015,2,0,0,ee7d5bbda29afd95526af9234e641bc47c51a0cb,,0,2,0,0,0,0,0,0,0,0,0,强化学习与智能决策
A Boosting Algorithm for Item Recommendation with Implicit Feedback.,2015,56,11,2,c2321fa80af0ceba4eb85a78f1c7c1fbe2780008,,0,2,7,8,7,6,9,10,4,2,1,机器学习（含深度学习）
A Characterization of n-Player Strongly Monotone Scheduling Mechanisms.,2015,5,1,0,ebf3fa6fc787256940fcb87bf0b166f3c2843a55,,0,1,0,2,1,0,0,0,1,0,0,基础 AI 理论
A Common-Sense Conceptual Categorization System Integrating Heterogeneous Proxytypes and the Dual Process of Reasoning.,2015,33,2,0,5b587f9121205f1578d53e9ad5329f850d8e0c58,,0,3,6,5,6,6,1,4,0,0,1,自然语言处理
A Complete Epistemic Planner without the Epistemic Closed World Assumption.,2015,17,3,0,e03ae4876f606eb11297eb84af24bbaa15feca49,,0,2,0,0,3,4,1,3,3,1,0,基础 AI 理论
A Crowdfunding Model for Green Energy Investment.,2015,19,1,0,1e3228cf06c7a1e15e0841ece20108c090a93e20,,0,0,4,5,3,0,2,3,1,0,0,模型可解释性、公平性、应用系统等
A Deterministic Partition Function Approximation for Exponential Random Graph Models.,2015,1,0,0,fdac7db97c4730dfe355611d4f6064ef5941295e,,0,0,0,0,0,0,1,0,0,0,0,概率统计与推理基础
A Dictatorship Theorem for Cake Cutting.,2015,36,10,0,699581a816a5acecb11f6b389be0205b4afb1899,,1,2,6,7,3,4,1,3,1,3,1,基础 AI 理论
A Direct Boosting Approach for Semi-supervised Classification.,2015,3,0,0,d3d8d5a76f47301f0bf5462b8c6b6200422c3aed,,0,1,0,0,2,0,0,0,0,0,0,机器学习（含深度学习）
A Fast Goal Recognition Technique Based on Interaction Estimates.,2015,86,20,0,5a3ef074ffb06f954b7750e63b75b3ac2e55dc57,,0,0,4,11,18,16,9,9,3,5,6,强化学习与智能决策
A Geometric Theory of Feature Selection and Distance-Based Measures.,2015,1,0,0,c689152ab9671218c0b05845f1683edbd857ce83,,0,0,0,0,1,0,0,0,0,0,0,表示学习与优化方法
A Graph Kernel Based on the Jensen-Shannon Representation Alignment.,2015,21,4,1,b5e1e546bc7e57e466a6f8ce19a58acad186d495,,0,0,2,3,3,3,2,3,1,1,2,表示学习与优化方法
A Hybrid Neural Model for Type Classification of Entity Mentions.,2015,65,24,2,a494a3de88348dd7e246ee3e7ad9f22907aa642b,,0,1,12,9,13,9,9,4,5,2,0,自然语言处理
A Joint Optimization Framework of Sparse Coding and Discriminative Clustering.,2015,26,12,1,cca1a02313c795bf90d25f2b593359e90f7df9eb,,0,2,6,2,2,7,4,0,2,1,0,表示学习与优化方法
A Logic for Reasoning about Justified Uncertain Beliefs.,2015,18,0,0,3b3f1c5b9fe42e166bf43caf830f3c203942128c,,1,0,3,4,2,4,4,0,0,0,0,基础 AI 理论
A MaxSAT Algorithm Using Cardinality Constraints of Bounded Size.,2015,73,9,0,5ed8fbecda527933da6a9b56dcc108986dd2b0a9,,0,2,8,15,16,15,6,3,1,3,3,基础 AI 理论
A Modification of the Halpern-Pearl Definition of Causality.,2015,171,19,5,08fb28e52b2b264dd5dccbb67e36348d7011a6e9,,2,2,12,15,14,13,15,26,20,19,16,概率统计与推理基础
A Modularity-Based Random SAT Instances Generator.,2015,47,11,0,c273b8171674dceb076181795c2135d5e435a4f4,,0,1,5,7,2,4,6,5,7,5,0,基础 AI 理论
A Multicore Tool for Constraint Solving.,2015,42,2,1,8b6b704ea3b03022963bda3f0f7a4b5072da9280,,0,4,12,4,6,6,6,2,0,2,0,基础 AI 理论
A New Input Method for Human Translators: Integrating Machine Translation Effectively and Imperceptibly.,2015,23,9,0,62289686d78fc0885b7383a2b0d4aaf9ad3f17da,,0,0,2,1,3,0,1,3,8,3,2,自然语言处理
A New Simplex Sparse Learning Model to Measure Data Similarity for Clustering.,2015,271,54,6,10e12d11cb98ffa5ae82343f8904cfe321ae8004,,0,0,8,12,21,22,35,34,27,40,39,表示学习与优化方法
A Personalised Thermal Comfort Model Using a Bayesian Network.,2015,66,3,1,cbf673eac43c6a96ad91c8ce0e6c7825aa487655,,0,0,6,5,8,10,16,8,5,3,3,概率统计与推理基础
A Privacy Preserving Algorithm for Multi-Agent Planning and Search.,2015,65,6,0,175c8d865c5f659fb2b36c3b203bf28337869eb9,,0,1,9,12,15,9,7,3,5,2,1,强化学习与智能决策
A Pseudo-Polynomial Algorithm for Computing Power Indices in Graph-Restricted Weighted Voting Games.,2015,11,0,0,6282f66de0462a35b86a4c573a35e39a13bfcf5c,,0,1,1,2,1,2,2,1,0,1,0,基础 AI 理论
A Scalable Community Detection Algorithm for Large Graphs Using Stochastic Block Models.,2015,17,3,0,fb956aead82fb3715b2910805b0248526cf7e428,,0,1,1,1,0,1,4,3,0,2,4,概率统计与推理基础
A Scalable Interdependent Multi-Issue Negotiation Protocol for Energy Exchange.,2015,7,1,0,9989385a7b17f29b385b37c2f4e1f5b00ee23134,,0,0,2,2,1,0,0,1,1,0,0,强化学习与智能决策
A Simple Probabilistic Extension of Modal Mu-calculus.,2015,18,1,3,5fcd9bcc333701f6e1dea4b9933bc6d39e1d50dc,,0,1,3,1,2,6,0,1,1,1,1,概率统计与推理基础
A Soft Version of Predicate Invention Based on Structured Sparsity.,2015,9,2,0,c96970cfb1c13ae6dccc30de482ce6b0d4414f2b,,0,0,3,2,1,0,0,2,0,0,0,表示学习与优化方法
A Space Alignment Method for Cold-Start TV Show Recommendations.,2015,12,1,0,986524825b929a2c95d64bc8b91592b2c0586990,,0,0,2,2,4,2,1,1,0,0,0,模型可解释性、公平性、应用系统等
A Study of Human-Agent Collaboration for Multi-UAV Task Allocation in Dynamic Environments.,2015,44,4,0,96b31de80600b2697f0fb5c8af4b1d4363c15d13,,0,2,6,2,5,2,4,3,5,8,3,强化学习与智能决策
A Subspace Learning Framework for Cross-Lingual Sentiment Classification with Partial Parallel Data.,2015,24,6,1,341977d844fb35f49dae8b010468e684fa3c2f06,,0,1,2,3,6,0,4,3,2,2,1,自然语言处理
"A Synthetic Approach for Recommendation: Combining Ratings, Social Relations, and Reviews.",2015,51,11,0,f9970b11a4f527df2e99761d7eacf071de6d1ebe,,0,0,9,14,8,8,6,4,1,0,0,机器学习（含深度学习）
A Top-Down Compiler for Sentential Decision Diagrams.,2015,104,23,1,f5fd6520a73b887b0c9ce048584b67a714b6f05d,,0,1,7,12,8,15,16,14,9,10,7,基础 AI 理论
A Unified Model for Unsupervised Opinion Spamming Detection Incorporating Text Generality.,2015,22,4,0,8c22faf409fa5dd336711358b61368369b0edb70,,0,0,0,4,1,6,5,2,2,1,1,自然语言处理
A Unified Probabilistic Model of User Activities and Relations on Social Networking Sites.,2015,0,0,0,f784acec2b1343b5ded5f1b6de0ee15889cd041a,,0,0,0,0,0,0,0,0,0,0,0,概率统计与推理基础
AGM Meets Abstract Argumentation: Expansion and Revision for Dung Frameworks.,2015,54,6,1,698d2b0ec8d998e78d82b24f33242930976112c3,,0,2,14,6,6,6,5,4,6,2,1,基础 AI 理论
AGM Revision of Beliefs about Action and Time.,2015,19,1,0,7aa12f84dae21678ed3a22a263e941daea379460,,0,3,5,4,1,2,3,0,1,0,0,基础 AI 理论
ALLEGRO: Belief-Based Programming in Stochastic Dynamical Domains.,2015,28,3,2,fcbbb39a98455db5903da6e97e2c418592c4ec69,,0,0,1,1,5,1,5,5,3,3,1,强化学习与智能决策
ASAP-UCT: Abstraction of State-Action Pairs in UCT.,2015,44,8,1,9cabaed67c6cbbf54a7f16969668b770ac7568ec,,0,0,5,6,6,9,0,1,6,2,2,强化学习与智能决策
Abstract Routing Models and Abstractions in the Context of Vehicle Routing.,2015,7,2,0,45ae087685a2bbcefbd411e28b4db689201a93ef,,0,1,1,1,0,1,1,2,0,0,0,基础 AI 理论
Accelerated Inexact Soft-Impute for Fast Large-Scale Matrix Completion.,2015,38,7,1,12204e2065a3fc0164d6058dd319360c63a1e29a,,0,0,10,5,11,2,3,2,2,2,1,表示学习与优化方法
Action2Activity: Recognizing Complex Activities from Sensor Data.,2015,370,7,4,d00b4a1a2b64d1b96853e387f351de6ac7166efa,,0,0,13,24,178,102,21,18,7,3,4,多模态学习
Active Imitation Learning of Hierarchical Policies.,2015,8,4,0,6a064d95cbc5b3a355afd3a176af1d7cb4133b3d,,0,1,0,1,1,3,1,1,0,0,0,强化学习与智能决策
Active Learning from Crowds with Unsure Option.,2015,52,15,1,068eb1a12766a5e8e408e650a3e1d4b4ec7ab42d,,0,0,6,7,10,8,13,2,2,2,0,机器学习（含深度学习）
Adaptive Dropout Rates for Learning with Corrupted Features.,2015,17,4,0,aae7185f6c30906cb81d42a0ddb68c0c84de4176,,0,0,4,1,3,2,5,1,0,0,1,机器学习（含深度学习）
Adaptive Sharing for Image Classification.,2015,2,1,0,87290ad1ee857445cbc6259ae207fe4ba6183c3a,,0,0,0,2,0,0,0,0,0,0,0,计算机视觉
Adversarial Hierarchical-Task Network Planning for Complex Real-Time Games.,2015,76,13,3,48dd3079dfc3d3b7dcf49b64970b8b10a6d8151b,,1,0,7,13,14,16,12,6,1,2,1,强化学习与智能决策
Aesthetic Visual Quality Evaluation of Chinese Handwritings.,2015,40,2,3,b848f3dfabfd6dbd52423ca1b4c0546e701d48ee,,0,0,1,4,2,7,3,7,3,3,4,计算机视觉
Aggregate Demand-Based Real-Time Pricing Mechanism for the Smart Grid: A Game-Theoretic Analysis.,2015,7,1,0,2a9aa21c3e9e16a78f613d1e68678482347f0bf3,,0,0,3,1,1,1,0,0,0,0,0,强化学习与智能决策
Agile Planning for Real-World Disaster Response.,2015,12,2,0,6805cdd5f81edc2605d56506f1c9a458a52cf18f,,0,1,3,2,2,0,1,1,0,0,1,强化学习与智能决策
Algorithmic Exam Generation.,2015,1,0,0,9905db8dcdb9586335c09b7bbf73833a3f9c0e6c,,0,0,0,0,0,0,1,0,0,0,0,基础 AI 理论
An Active Learning Approach to Coreference Resolution.,2015,23,8,1,f0ec580dcc448ecf91dcd0362c2b9e1cd78ecf54,,0,0,3,1,0,2,5,4,4,1,2,自然语言处理
An Adaptive Computational Model for Personalized Persuasion.,2015,30,2,1,6f8562b5e90d6547578f518020ba737d5cce35b1,,0,2,4,6,3,5,4,0,2,2,0,强化学习与智能决策
An Algebra of Granular Temporal Relations for Qualitative Reasoning.,2015,16,3,0,cc7ff0dfe9e4ba659c3c364ffbe737b0865dae62,,0,0,3,5,3,0,3,0,1,1,0,基础 AI 理论
An Efficient Classifier Based on Hierarchical Mixing Linear Support Vector Machines.,2015,2,0,0,a45d044de0b832753ef0967a09b4e0fe278c3bfe,,0,1,1,0,0,0,0,0,0,0,0,机器学习（含深度学习）
An Exact Inference Scheme for MinSAT.,2015,8,1,0,ae26185e662d757db4c5888087ea8963adbafa36,,0,0,2,0,0,2,1,1,2,0,0,概率统计与推理基础
