title,year,citationCount,top_conf_citations,top_journal_citations,paperId,notes,citations_2014,citations_2015,citations_2016,citations_2017,citations_2018,citations_2019,citations_2020,citations_2021,citations_2022,citations_2023,citations_2024,ai_category
Proceedings of the 2015 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies,2015,58,8,3,81be8f395937b006446ed0a3c46a196378c667c7,,0,0,2,4,6,9,12,11,8,5,1,自然语言处理
Unsupervised Induction of Semantic Roles within a Reconstruction-Error Minimization Framework,2015,32,11,1,7998fdda57638083b93d216e8493039cc2cac08a,,0,1,6,9,3,4,5,2,1,0,1,自然语言处理
Predicate Argument Alignment using a Global Coherence Model,2015,11,6,0,c95bb473251a21f79c2396fc5b5541ed20e70399,,0,1,3,1,2,1,0,1,0,2,0,自然语言处理
Improving unsupervised vector-space thematic fit evaluation via role-filler prototype clustering,2015,32,10,0,4eb4867ea2ccb0939e3782ce462a7fea02ee8f07,,0,3,6,3,7,4,2,2,1,1,2,自然语言处理
A Compositional and Interpretable Semantic Space,2015,68,24,0,41d366fa8c7e454e7b478c9f1b2d6d40b54dbc1c,,0,9,14,8,7,8,7,3,3,3,4,自然语言处理
"Randomized Greedy Inference for Joint Segmentation, POS Tagging and Dependency Parsing",2015,45,13,1,d82dcb65640a32791d70603ec4e4312a994fd12e,,0,4,2,5,6,9,5,6,2,4,1,自然语言处理
An Incremental Algorithm for Transition-based CCG Parsing,2015,16,8,0,45025a80ea25f8558aaa24d8647cee2a99ab9a4b,,0,0,5,4,1,1,1,1,1,2,0,自然语言处理
Because Syntax Does Matter: Improving Predicate-Argument Structures Parsing with Syntactic Features,2015,13,4,0,a103cf359db606ba79c792a080e3c9f95056c8da,,0,0,4,4,3,2,0,0,0,0,0,自然语言处理
A Hybrid Generative/Discriminative Approach To Citation Prediction,2015,3,2,0,900d5295132190ec297baf211828ef3564256024,,0,1,0,0,1,0,0,0,0,0,1,自然语言处理
Weakly Supervised Slot Tagging with Partially Labeled Sequences from Web Search Click Logs,2015,31,18,0,e014bf2325b20fd464321098e507174c77e13e43,,0,5,5,10,6,0,2,1,0,1,0,自然语言处理
Not All Character N-grams Are Created Equal: A Study in Authorship Attribution,2015,177,24,5,c2516d27a11171828b1765fbacc15e3c56514b0f,,0,2,19,26,28,37,14,21,10,10,4,自然语言处理
Effective Use of Word Order for Text Categorization with Convolutional Neural Networks,2015,897,156,35,fbf417c83ae5b895fc645346e4efbf3a0aabeac9,,0,32,88,114,149,170,139,65,61,36,19,自然语言处理
Transition-Based Syntactic Linearization,2015,17,4,0,57fe31ee17f4e03fcb152130dec9240813e309bd,,0,0,0,4,5,3,3,1,1,0,0,自然语言处理
Extractive Summarisation Based on Keyword Profile and Language Model,2015,10,1,0,dad98cf6b21d8453467134433ce9047d4273f24a,,0,1,0,3,0,0,1,2,0,1,1,自然语言处理
HEADS: Headline Generation as Sequence Prediction Using an Abstract Feature-Rich Space,2015,53,8,2,a9614b05461bb306cc47c8cd645b9b67bb1227ba,,0,1,3,5,7,15,9,7,1,2,2,自然语言处理
"What’s Cookin’? Interpreting Cooking Videos using Text, Speech and Vision",2015,160,68,3,59ba3b1b31e2f8adb18fb886ad3fc087081c0e38,,0,16,16,18,16,25,17,19,10,13,6,多模态学习
Combining Language and Vision with a Multimodal Skip-gram Model,2015,288,95,7,dfa8790b6463cbd8e50d746e03e4c161e1920cf1,,2,14,34,46,38,33,40,29,22,14,10,多模态学习
Discriminative Unsupervised Alignment of Natural Language Instructions with Corresponding Video Segments,2015,31,15,0,33b43af280c2e0120ab20eea6a1454c1572ff4f7,,0,6,6,6,0,3,4,1,0,1,4,多模态学习
TopicCheck: Interactive Alignment for Assessing Topic Model Stability,2015,56,9,1,7556f82b9d08b861c4b438d82dc957e413883738,,0,2,5,7,3,7,10,8,3,3,6,模型可解释性、公平性、应用系统等
Inferring latent attributes of Twitter users with label regularization,2015,27,4,2,766bf22a9705d234a2148cfbbe7b35c6f512e680,,0,0,8,4,5,2,2,3,0,2,0,表示学习与优化方法
A Neural Network Approach to Context-Sensitive Generation of Conversational Responses,2015,913,294,7,5247a6e3a60ff0381355e66bfc313bf27512ae0c,,1,20,76,124,179,167,138,86,64,41,8,自然语言处理
How to Make a Frenemy: Multitape FSTs for Portmanteau Generation,2015,21,7,0,2786ff7070836a2a8d97259450e1aafaa5d6f460,,0,1,1,3,4,1,4,2,2,3,0,自然语言处理
Aligning Sentences from Standard Wikipedia to Simple Wikipedia,2015,110,34,3,c39d40ab86c99586560ccb892417f788d9c5643a,,0,3,8,9,21,11,17,13,13,6,6,自然语言处理
Inducing Lexical Style Properties for Paraphrase and Genre Differentiation,2015,53,20,2,e35d22622d470f142a48d53f07313d8c4e6c73d8,,0,5,10,6,10,1,4,3,8,3,2,自然语言处理
Entity Linking for Spoken Language,2015,12,3,0,1e9cd3966dcb1af0cfce92fc17719eecca912877,,0,0,0,4,2,0,4,1,1,0,0,自然语言处理
Spinning Straw into Gold: Using Free Text to Train Monolingual Alignment Models for Non-factoid Question Answering,2015,18,5,1,d8c2bae7eee9a2e5011bab6b9c3888b23ea8c6c8,,0,2,2,6,3,2,0,2,0,0,1,自然语言处理
Personalized Page Rank for Named Entity Disambiguation,2015,118,38,1,6e4e5721ad2737116efb7c49127d6aab06f9f466,,0,1,8,13,16,24,18,11,11,6,6,自然语言处理
When and why are log-linear models self-normalizing?,2015,67,14,1,4e18fea7edd3a49e3ed580b9eafd72d477b1975e,,0,9,5,11,5,9,2,1,2,0,0,概率统计与推理基础
Deep Multilingual Correlation for Improved Word Embeddings,2015,134,49,2,389ab0215cfd94b73040a5f2d5c84b10162f4567,,0,8,31,16,16,31,19,5,4,2,0,自然语言处理
