title,year,citationCount,top_conf_citations,top_journal_citations,paperId,notes,citations_2014,citations_2015,citations_2016,citations_2017,citations_2018,citations_2019,citations_2020,citations_2021,citations_2022,citations_2023,citations_2024,ai_category
From Stochastic Mixability to Fast Rates,2014,16,4,0,65ff64208cc59bfa54681b2d34dd834bf17f6957,,0,1,7,1,3,1,1,0,1,0,0,表示学习与优化方法
Active Regression by Stratification,2014,39,14,0,d82dde0046387cc5e9ea4c4011e7cea6a2867924,,0,2,11,5,3,2,5,2,3,5,0,概率统计与推理基础
Multi-Step Stochastic ADMM in High Dimensions: Applications to Sparse Optimization and Matrix Decomposition,2014,13,2,0,7bdc0143e92813ea69e61252b4335526bee820ec,,0,3,3,2,2,1,0,1,1,0,0,表示学习与优化方法
Spatio-temporal Representations of Uncertainty in Spiking Neural Networks,2014,65,7,8,fa8a207591e81068abf9f47f0246b99c95719abd,,0,2,5,7,3,5,6,10,6,11,5,基础 AI 理论
Biclustering Using Message Passing,2014,9,2,0,63501633e600338ecb21b378dea6eb89d72db445,,0,1,0,3,2,0,1,1,0,0,1,概率统计与推理基础
Identifying and attacking the saddle point problem in high-dimensional non-convex optimization,2014,1447,211,43,981ce6b655cc06416ff6bf7fac8c6c2076fd7fac,,9,51,112,157,247,174,166,139,105,89,85,表示学习与优化方法
Clustered factor analysis of multineuronal spike data,2014,33,6,2,08ead176c4120d2bd897469a2964bae3e00de8e8,,0,7,4,4,2,2,4,1,4,4,1,概率统计与推理基础
Beta-Negative Binomial Process and Exchangeable ?Random Partitions for Mixed-Membership Modeling,2014,19,5,0,9895d1dd77bfe4950646989a35496b8701d9659e,,1,5,2,2,3,3,0,0,0,1,2,概率统计与推理基础
Gaussian Process Volatility Model,2014,45,8,1,82534d7687273b9182c020dff1a352e1a7df6020,,0,4,2,4,5,5,8,6,2,1,4,概率统计与推理基础
"Distributed Estimation, Information Loss and Exponential Families",2014,61,6,0,cf6ac268e222482cf3c3b8cc679283618ca1e9be,,2,3,4,6,12,5,8,5,5,4,5,概率统计与推理基础
Cone-Constrained Principal Component Analysis,2014,38,6,2,72a845d5e98ec3b9de0972204caf50f167e089eb,,2,6,6,4,3,1,5,2,4,3,1,表示学习与优化方法
Dynamic Rank Factor Model for Text Streams,2014,11,4,0,898c887d59ffc19c87947ad139fd5bf7d08d4d0a,,0,3,3,0,1,0,1,0,0,0,3,自然语言处理
Online combinatorial optimization with stochastic decision sets and adversarial losses,2014,32,11,0,37c3d7f4194a0ff721658cfaf970018f00997635,,0,2,2,4,1,2,9,3,3,2,3,强化学习与智能决策
Magnitude-sensitive preference formation`,2014,6,2,0,be6522740343442187282ed7f7b2173fcaeb829a,,0,2,2,1,0,1,0,0,0,0,0,基础 AI 理论
Learning convolution filters for inverse covariance estimation of neural network connectivity,2014,4,0,0,87cc495895c1b479ca97055996694f78db7375ba,,0,1,0,0,0,0,0,2,0,0,0,机器学习（含深度学习）
